"","x"
"133","0000039ti=214598cl=5db=184"
"134","0000096ti=146291cl=2db=184"
"135","0000115ti=186782cl=16db=184"
"136","0000185ti=41133cl=3db=184"
"137","0000055ti=169623cl=7db=184"
"138","ensGene.ENST00000455679.1.inc"
"139","Oospila"
"140","0000032ti=490054cl=0db=184"
"141","0000085ti=216706cl=8db=184"
"142","0000174ti=127399cl=1db=184"
"143","morf_453979_11codonalign.trim_interval.ctx"
"144","0000155ti=29179cl=2db=184"
"145","ensGene.ENST00000417726.1.inc"
"146","chrz_8113"
"147","0000063ti=721812cl=8db=184"
"148","0000037ti=186781cl=0db=184"
"149","0000041ti=7952cl=1db=184"
"150","Rhinolophus"
"151","0000196ti=92558cl=9db=184"
"152","0000109ti=216693cl=5db=184"
"153","0000047ti=458351cl=4db=184"
"154","0000057ti=30001cl=1db=184"
"155","0000044ti=33367cl=10db=184"
"156","Adipicola"
"157","0000132ti=4677cl=6db=184"
"158","0000066ti=3608cl=3db=184"
"159","0000030ti=66056cl=21db=184"
"160","0000142ti=203143cl=3db=184"
"161","Nematus"
"162","Cornus"
"163","0000047ti=4667cl=19db=184"
"164","0000045ti=33554cl=36db=184"
"165","0000133ti=147369cl=813db=184"
"166","0000081ti=58149cl=5db=184"
"167","morf_451733_11codonalign.trim_interval.ctx"
"168","morf_453791_11codonalign.trim_interval.ctx"
"169","0000074ti=217046cl=15db=184"
"170","0000197ti=39816cl=50db=184"
"171","0000051ti=49606cl=2db=184"
"172","0000056ti=16360cl=22db=184"
"173","Lutzomyia"
"174","0000027ti=43831cl=8db=184"
"175","0000181ti=8224cl=3db=184"
"176","my_ENSGALG00000008632.macse_DNA_gb"
"177","0000058ti=44327cl=24db=184"
"178","0000125ti=5258cl=0db=184"
"179","0000131ti=107219cl=7db=184"
"180","0000126ti=3385cl=6db=184"
"181","0000089ti=27577cl=1db=184"
"182","Avena"
"183","0000082ti=8570cl=21db=184"
"184","Symmorphus"
"185","0000033ti=379584cl=26db=184"
"186","0000025ti=286478cl=1db=184"
"187","0000124ti=35567cl=54db=184"
"188","knownGene.uc010eyf.2.1"
"189","0000027ti=50633cl=6db=184"
"190","0000037ti=31319cl=5db=184"
"191","0000049ti=29000cl=3db=184"
"192","0000066ti=162809cl=5db=184"
"193","0000126ti=47341cl=0db=184"
"194","0000092ti=223472cl=81db=184"
"195","0000243ti=2774cl=0db=184"
"196","Gobio"
"197","0000070ti=6127cl=5db=184"
"198","0000026ti=115312cl=8db=184"
"199","0000083ti=227089cl=0db=184"
"200","0000182ti=194286cl=1db=184"
"201","Pollanisus"
"202","morf_453040_11codonalign.trim_interval.ctx"
"203","0000029ti=47520cl=5db=184"
"204","0000103ti=241780cl=17db=184"
"205","0000047ti=9608cl=10db=184"
"206","refGene.NM_025054.1.inc"
"207","0000030ti=4619cl=4db=184"
"208","Dysstroma"
"209","morf_449250_11codonalign.trim_interval.ctx"
"210","0000041ti=291611cl=0db=184"
"211","0000083ti=52176cl=1db=184"
"212","0000060ti=94579cl=1db=184"
"213","0000157ti=337963cl=47db=184"
"214","my_ENSGALG00000005900.macse_DNA_gb"
"215","0000049ti=196999cl=1db=184"
"216","0000049ti=120435cl=2db=184"
"217","0000099ti=75546cl=90db=184"
"218","0000233ti=4149cl=12db=184"
"219","0000085ti=6308cl=7db=184"
"220","0000102ti=241792cl=8db=184"
"221","0000084ti=130738cl=7db=184"
"222","chr3_1282"
"223","0000047ti=16739cl=0db=184"
"224","Gorgone"
"225","0000046ti=34426cl=1db=184"
"226","0000041ti=183338cl=3db=184"
"227","0000142ti=319095cl=49db=184"
"228","0000059ti=123760cl=3db=184"
"229","0000032ti=34667cl=4db=184"
"230","0000147ti=169697cl=8db=184"
"231","morf_452186_11codonalign.trim_interval.ctx"
"232","my_ENSGALG00000004431.macse_DNA_gb"
"233","0000058ti=83234cl=0db=184"
"234","0000165ti=7214cl=5db=184"
"235","Kappaphycus"
"236","17042"
"237","0000068ti=453038cl=5db=184"
"238","0000173ti=69679cl=0db=184"
"239","morf_451572_11codonalign.trim_interval.ctx"
"240","0000051ti=3387cl=5db=184"
"241","0000050ti=52836cl=5db=184"
"242","0000048ti=213859cl=1db=184"
"243","0000080ti=16055cl=1db=184"
"244","0000028ti=335011cl=0db=184"
"245","Omiodes"
"246","0000036ti=83698cl=5db=184"
"247","0000067ti=211564cl=21db=184"
"248","0000082ti=58763cl=0db=184"
"249","morf_452788_11codonalign.trim_interval.ctx"
"250","0000090ti=351514cl=4db=184"
"251","0000131ti=274104cl=1db=184"
"252","0000231ti=7033cl=8db=184"
"253","Reithrodontomys"
"254","0000061ti=3372cl=195db=184"
"255","0000165ti=124226cl=0db=184"
"256","Haminoea"
"257","knownGene.uc001kdz.2.1"
"258","0000038ti=84920cl=3db=184"
"259","0000145ti=40568cl=6db=184"
"260","0000056ti=63717cl=1db=184"
"261","0000212ti=30259cl=0db=184"
"262","0000095ti=50938cl=3db=184"
"263","0000126ti=3432cl=34db=184"
"264","Elaphropeza"
"265","0000065ti=202994cl=0db=184"
"266","Sphyrna"
"267","Ochotona"
"268","0000059ti=73401cl=5db=184"
"269","0000028ti=155616cl=113db=184"
"270","0000065ti=46877cl=9db=184"
"271","Hemiandrus"
"272","0000141ti=9277cl=9db=184"
"273","0000093ti=77689cl=0db=184"
"274","Acerpenna"
"275","0000042ti=405757cl=2db=184"
"276","0000036ti=55872cl=0db=184"
"277","0000068ti=40551cl=69db=184"
"278","0000041ti=58055cl=15db=184"
"279","Philodromus"
"280","0000182ti=169640cl=0db=184"
"281","morf_451178_11codonalign.trim_interval.ctx"
"282","0000040ti=314294cl=47db=184"
"283","0000042ti=9721cl=2db=184"
"284","0000030ti=91228cl=4db=184"
"285","0000166ti=147376cl=48db=184"
"286","0000047ti=131578cl=0db=184"
"287","0000182ti=74388cl=5db=184"
"288","0000071ti=4544cl=4db=184"
"289","0000035ti=400782cl=2db=184"
"290","0000240ti=43786cl=39db=184"
"291","0000174ti=186285cl=6db=184"
"292","0000100ti=9154cl=0db=184"
"293","knownGene.uc010sca.1.1.inc"
"294","0000102ti=139644cl=3db=184"
"295","9831"
"296","0000027ti=58537cl=0db=184"
"297","0000112ti=4613cl=5db=184"
"298","0000078ti=3487cl=2db=184"
"299","morf_448742_11codonalign.trim_interval.ctx"
"300","0000045ti=27483cl=1db=184"
"301","0000097ti=8602cl=2db=184"
"302","0000042ti=70742cl=4db=184"
"303","0000028ti=53271cl=0db=184"
"304","0000055ti=42627cl=1db=184"
"305","0000050ti=424551cl=62db=184"
"306","0000102ti=3745cl=9db=184"
"307","Diachrysia"
"308","Corynoneura"
"309","0000125ti=703537cl=1db=184"
"310","0000165ti=9223cl=6db=184"
"311","Meragisa"
"312","0000138ti=45625cl=24db=184"
"313","0000107ti=53506cl=0db=184"
"314","knownGene.uc003fbe.2.1"
"315","0000028ti=6725cl=13db=184"
"316","0000187ti=5529cl=0db=184"
"317","0000092ti=8332cl=0db=184"
"318","0000056ti=41011cl=2db=184"
"319","Ctenomys"
"320","0000091ti=169700cl=1db=184"
"321","0000072ti=13826cl=0db=184"
"322","knownGene.uc003wlt.2.1.inc"
"323","0000100ti=110808cl=5db=184"
"324","ensGene.ENST00000376472.1.inc"
"325","Tegula"
"326","0000057ti=201006cl=3db=184"
"327","0000044ti=169697cl=4db=184"
"328","0000027ti=158417cl=8db=184"
"329","0000175ti=235631cl=0db=184"
"330","0000048ti=110124cl=2db=184"
"331","0000111ti=127400cl=31db=184"
"332","0000041ti=115312cl=5db=184"
"333","0000074ti=2873cl=0db=184"
"334","0000057ti=51241cl=0db=184"
"335","0000034ti=261082cl=0db=184"
"336","0000063ti=8077cl=2db=184"
"337","Machilus"
"338","chr5_11783"
"339","0000072ti=83319cl=6db=184"
"340","0000089ti=3387cl=9db=184"
"341","Gallus"
"342","0000025ti=13538cl=10db=184"
"343","0000027ti=192744cl=3db=184"
"344","morf_451900_11codonalign.trim_interval.ctx"
"345","0000111ti=3977cl=6db=184"
"346","morf_454408_11codonalign.trim_interval.ctx"
"347","chr3_16820"
"348","Coptotermes"
"349","11049"
"350","0000123ti=4613cl=4db=184"
"351","0000069ti=147435cl=1db=184"
"352","Artemia"
"353","Oenochroma"
"354","0000089ti=3433cl=9db=184"
"355","0000050ti=82596cl=0db=184"
"356","0000083ti=145355cl=0db=184"
"357","0000154ti=214600cl=0db=184"
"358","0000035ti=630505cl=3db=184"
"359","0000154ti=7128cl=2db=184"
"360","0000082ti=112992cl=0db=184"
"361","0000044ti=703530cl=30db=184"
"362","0000032ti=147367cl=49db=184"
"363","0000043ti=5890cl=5db=184"
"364","0000191ti=127320cl=48db=184"
"365","0000037ti=9681cl=20db=184"
"366","0000047ti=46879cl=612db=184"
"367","0000095ti=169644cl=14db=184"
"368","0000043ti=8418cl=1db=184"
"369","0000064ti=84337cl=0db=184"
"370","Cephalophus"
"371","0000049ti=34999cl=10db=184"
"372","Macroglossum"
"373","Agonopterix"
"374","0000056ti=99434cl=1db=184"
"375","0000062ti=3318cl=63db=184"
"376","0000099ti=721813cl=25db=184"
"377","Caripeta"
"378","knownGene.uc001lon.2.1.inc"
"379","Schinia"
"380","0000102ti=36256cl=1db=184"
"381","chr2_23160"
"382","my_ENSGALG00000006066.macse_DNA_gb"
"383","16851"
"384","0000037ti=167498cl=1db=184"
"385","0000163ti=256835cl=0db=184"
"386","0000074ti=28908cl=7db=184"
"387","0000062ti=211524cl=3db=184"
"388","0000114ti=135491cl=1db=184"
"389","0000218ti=586004cl=0db=184"
"390","Neacomys"
"391","0000093ti=158389cl=5db=184"
"392","0000026ti=9307cl=12db=184"
"393","0000028ti=3337cl=31db=184"
"394","morf_454466_11codonalign.trim_interval.ctx"
"395","0000091ti=13228cl=1db=184"
"396","Passer"
"397","0000038ti=50623cl=3db=184"
"398","0000031ti=57970cl=4db=184"
"399","0000154ti=53018cl=0db=184"
"400","0000086ti=132616cl=2db=184"
"401","0000108ti=50676cl=1db=184"
"402","12520"
"403","0000030ti=140701cl=3db=184"
"404","0000064ti=424569cl=7db=184"
"405","0000041ti=114667cl=1db=184"
"406","0000108ti=178174cl=0db=184"
"407","my_ENSGALG00000016479.macse_DNA_gb"
"408","0000170ti=36297cl=8db=184"
"409","0000027ti=352277cl=0db=184"
"410","0000061ti=42216cl=2db=184"
"411","knownGene.uc010zcg.1.1.inc"
"412","0000226ti=6451cl=0db=184"
"413","morf_452895_11codonalign.trim_interval.ctx"
"414","0000058ti=43871cl=1db=184"
"415","0000076ti=70404cl=5db=184"
"416","0000077ti=72430cl=12db=184"
"417","0000059ti=154680cl=6db=184"
"418","ensGene.ENST00000442379.1.inc"
"419","0000026ti=5600cl=2db=184"
"420","0000186ti=30645cl=0db=184"
"421","0000223ti=41073cl=0db=184"
"422","0000036ti=267213cl=39db=184"
"423","0000039ti=4381cl=20db=184"
"424","0000058ti=452337cl=1db=184"
"425","0000030ti=338152cl=34db=184"
"426","0000121ti=40248cl=3db=184"
"427","0000039ti=4374cl=23db=184"
"428","0000136ti=42261cl=9db=184"
"429","0000078ti=27532cl=11db=184"
"430","0000117ti=8417cl=23db=184"
"431","0000040ti=236639cl=0db=184"
"432","Scirtothrips"
"433","0000032ti=9726cl=41db=184"
"434","0000087ti=217046cl=9db=184"
"435","0000127ti=33848cl=13db=184"
"436","0000043ti=232804cl=2db=184"
"437","0000062ti=41074cl=7db=184"
"438","0000063ti=6964cl=10db=184"
"439","Archytas"
"440","0000149ti=83233cl=6db=184"
"441","0000082ti=452563cl=7db=184"
"442","0000054ti=110618cl=7db=184"
"443","0000042ti=378905cl=4db=184"
"444","0000044ti=272336cl=1db=184"
"445","0000030ti=98966cl=12db=184"
"446","0000064ti=92572cl=8db=184"
"447","0000120ti=555280cl=0db=184"
"448","0000059ti=189479cl=7db=184"
"449","0000092ti=4328cl=11db=184"
"450","morf_453113_11codonalign.trim_interval.ctx"
"451","0000209ti=100860cl=0db=184"
"452","0000226ti=31314cl=0db=184"
"453","0000106ti=4672cl=11db=184"
"454","0000059ti=105703cl=0db=184"
"455","RPS14-nucl"
"456","0000049ti=116570cl=19db=184"
"457","ensGene.ENST00000455517.1.inc"
"458","0000031ti=218102cl=2db=184"
"459","0000027ti=121069cl=19db=184"
"460","0000027ti=2877cl=2db=184"
"461","0000049ti=51763cl=8db=184"
"462","0000087ti=24945cl=2db=184"
"463","0000086ti=3593cl=17db=184"
"464","0000088ti=158408cl=5db=184"
"465","0000048ti=227872cl=7db=184"
"466","0000044ti=34989cl=7db=184"
"467","0000042ti=162454cl=6db=184"
"468","0000198ti=6646cl=0db=184"
"469","0000219ti=179442cl=2db=184"
"470","0000036ti=75543cl=13db=184"
"471","0000124ti=33356cl=6db=184"
"472","0000041ti=3731cl=7db=184"
"473","Dendrobaena"
"474","ensGene.ENST00000358002.1.inc"
"475","0000168ti=195944cl=0db=184"
"476","0000121ti=4011cl=7db=184"
"477","0000181ti=55417cl=7db=184"
"478","0000096ti=640630cl=4db=184"
"479","0000064ti=190812cl=9db=184"
"480","knownGene.uc010fme.1.1.inc"
"481","Eteone"
"482","0000049ti=33356cl=4db=184"
"483","0000084ti=4630cl=1db=184"
"484","0000102ti=71491cl=0db=184"
"485","knownGene.uc001bvx.1.1"
"486","Myzus"
"487","0000032ti=158455cl=3db=184"
"488","0000046ti=100370cl=6db=184"
"489","0000074ti=185814cl=0db=184"
"490","0000102ti=58022cl=0db=184"
"491","ensGene.ENST00000438863.1.inc"
"492","0000086ti=23204cl=9db=184"
"493","0000149ti=451455cl=3db=184"
"494","0000092ti=535382cl=50db=184"
"495","0000186ti=403667cl=7db=184"
"496","0000183ti=4374cl=11db=184"
"497","0000092ti=319095cl=29db=184"
"498","0000038ti=9681cl=29db=184"
"499","0000127ti=39814cl=23db=184"
"500","0000042ti=36152cl=0db=184"
"501","0000050ti=167500cl=3db=184"
"502","Phoenicoprocta"
"503","0000089ti=62702cl=1db=184"
"504","0000094ti=8486cl=24db=184"
"505","0000169ti=169623cl=0db=184"
"506","0000030ti=59213cl=0db=184"
"507","0000052ti=59595cl=1db=184"
"508","0000234ti=400782cl=5db=184"
"509","0000031ti=41475cl=4db=184"
"510","0000033ti=9170cl=9db=184"
"511","0000105ti=86658cl=8db=184"
"512","0000050ti=34667cl=2db=184"
"513","0000233ti=30850cl=0db=184"
"514","0000110ti=49606cl=0db=184"
"515","0000093ti=106503cl=1db=184"
"516","Falco"
"517","0000152ti=27977cl=2db=184"
"518","morf_454189_11codonalign.trim_interval.ctx"
"519","0000036ti=41317cl=34db=184"
"520","0000115ti=79904cl=3db=184"
"521","0000031ti=34725cl=424db=184"
"522","0000038ti=424564cl=4db=184"
"523","0000053ti=331533cl=5db=184"
"524","0000204ti=3683cl=9db=184"
"525","0000039ti=9528cl=11db=184"
"526","0000033ti=58214cl=9db=184"
"527","0000115ti=36291cl=3db=184"
"528","0000029ti=27544cl=4db=184"
"529","0000123ti=33856cl=1db=184"
"530","0000029ti=344713cl=4db=184"
"531","0000116ti=58019cl=63db=184"
"532","0000082ti=4501cl=18db=184"
"533","0000089ti=53922cl=1db=184"
"534","0000053ti=61508cl=8db=184"
"535","Neochera"
"536","chr3_6248"
"537","0000051ti=162809cl=6db=184"
"538","chr2_7954"
"539","Ichneumon"
"540","0000041ti=50619cl=4db=184"
"541","0000039ti=173537cl=8db=184"
"542","0000037ti=9681cl=31db=184"
"543","0000050ti=301453cl=2db=184"
"544","0000037ti=4005cl=5db=184"
"545","0000108ti=8522cl=25db=184"
"546","Valvata"
"547","0000155ti=404297cl=3db=184"
"548","Scopula"
"549","0000034ti=107808cl=3db=184"
"550","0000165ti=19955cl=2db=184"
"551","0000057ti=34979cl=16db=184"
"552","0000066ti=129530cl=1db=184"
"553","0000097ti=36161cl=6db=184"
"554","0000090ti=6384cl=31db=184"
"555","0000205ti=8043cl=3db=184"
"556","0000031ti=13803cl=9db=184"
"557","0000096ti=163091cl=4db=184"
"558","morf_451120_11codonalign.trim_interval.ctx"
"559","0000152ti=57970cl=0db=184"
"560","0000119ti=38208cl=8db=184"
"561","0000034ti=685149cl=116db=184"
"562","Papaver"
"563","Crangonyx"
"564","0000094ti=9136cl=7db=184"
"565","0000222ti=452335cl=1db=184"
"566","0000064ti=272339cl=14db=184"
"567","Bursa"
"568","0000169ti=10205cl=3db=184"
"569","0000053ti=27800cl=4db=184"
"570","0000084ti=80654cl=1db=184"
"571","0000126ti=3103cl=5db=184"
"572","0000025ti=157822cl=29db=184"
"573","0000133ti=56259cl=49db=184"
"574","0000052ti=192333cl=1db=184"
"575","0000046ti=54958cl=0db=184"
"576","0000054ti=81887cl=11db=184"
"577","0000053ti=147551cl=43db=184"
"578","0000185ti=33551cl=0db=184"
"579","0000099ti=72046cl=9db=184"
"580","0000188ti=40420cl=12db=184"
"581","0000074ti=19952cl=9db=184"
"582","0000103ti=43457cl=0db=184"
"583","0000132ti=13815cl=3db=184"
"584","0000109ti=7423cl=28db=184"
"585","0000036ti=50460cl=4db=184"
"586","0000077ti=50362cl=1db=184"
"587","0000140ti=50515cl=34db=184"
"588","0000075ti=33825cl=11db=184"
"589","0000051ti=7215cl=612db=184"
"590","chr3_5476"
"591","0000041ti=154050cl=1db=184"
"592","Apodemus"
"593","0000032ti=84654cl=3db=184"
"594","knownGene.uc010kit.1.1.inc"
"595","0000027ti=21556cl=7db=184"
"596","0000053ti=22042cl=9db=184"
"597","0000070ti=214598cl=2db=184"
"598","0000055ti=4830cl=1db=184"
"599","0000080ti=535382cl=79db=184"
"600","Adhemarius"
"601","chr9_1157"
"602","0000210ti=75966cl=5db=184"
"603","0000196ti=6541cl=0db=184"
"604","morf_449258_11codonalign.trim_interval.ctx"
"605","0000047ti=27450cl=26db=184"
"606","0000029ti=338152cl=38db=184"
"607","0000032ti=90723cl=0db=184"
"608","0000083ti=98294cl=32db=184"
"609","POLR2B-nucl"
"610","Antiblemma"
"611","0000231ti=140060cl=8db=184"
"612","0000039ti=158345cl=25db=184"
"613","Alosa"
"614","Microctonus"
"615","0000038ti=186782cl=28db=184"
"616","Cryptops"
"617","0000241ti=3166cl=777db=184"
"618","0000034ti=3432cl=75db=184"
"619","0000078ti=33677cl=2db=184"
"620","0000039ti=35500cl=112db=184"
"621","0000030ti=9608cl=26db=184"
"622","0000029ti=113508cl=17db=184"
"623","0000156ti=42302cl=1db=184"
"624","0000066ti=227089cl=9db=184"
"625","0000102ti=41934cl=0db=184"
"626","0000034ti=169197cl=0db=184"
"627","0000097ti=162266cl=4db=184"
"628","0000036ti=3195cl=14db=184"
"629","0000040ti=3363cl=4db=184"
"630","0000084ti=68802cl=1db=184"
"631","0000149ti=48720cl=7db=184"
"632","Chelidonichthys"
"633","0000085ti=158394cl=3db=184"
"634","0000035ti=2830cl=63db=184"
"635","0000172ti=55268cl=3db=184"
"636","0000179ti=31454cl=0db=184"
"637","0000086ti=184166cl=0db=184"
"638","0000034ti=152601cl=12db=184"
"639","Austrophorocera"
"640","0000073ti=32138cl=3db=184"
"641","Acipenser"
"642","0000054ti=33383cl=7db=184"
"643","0000063ti=71243cl=10db=184"
"644","0000140ti=30095cl=10db=184"
"645","0000026ti=34989cl=16db=184"
"646","morf_452440_11codonalign.trim_interval.ctx"
"647","0000039ti=267092cl=2db=184"
"648","0000177ti=85118cl=7db=184"
"649","0000026ti=46877cl=34db=184"
"650","0000061ti=55731cl=1db=184"
"651","0000046ti=186980cl=5db=184"
"652","0000136ti=143461cl=1db=184"
"653","460"
"654","morf_448625_11codonalign.trim_interval.ctx"
"655","0000080ti=293506cl=8db=184"
"656","0000102ti=241778cl=17db=184"
"657","0000026ti=523720cl=1db=184"
"658","0000246ti=7366cl=74db=184"
"659","0000118ti=40548cl=12db=184"
"660","0000181ti=36291cl=0db=184"
"661","0000063ti=36164cl=0db=184"
"662","0000080ti=70404cl=3db=184"
"663","Fluminicola"
"664","0000042ti=13809cl=9db=184"
"665","0000026ti=5313cl=2db=184"
"666","0000250ti=147387cl=1db=184"
"667","0000026ti=243885cl=0db=184"
"668","0000210ti=167489cl=0db=184"
"669","0000045ti=75187cl=8db=184"
"670","0000139ti=318559cl=11db=184"
"671","morf_451947_11codonalign.trim_interval.ctx"
"672","0000152ti=8536cl=4db=184"
"673","0000146ti=379500cl=3db=184"
"674","Erigone"
"675","vegaGene.OTTHUMT00000364969.1.inc"
"676","0000110ti=62955cl=1db=184"
"677","0000061ti=231212cl=1db=184"
"678","0000123ti=122238cl=1db=184"
"679","Ilybius"
"680","0000195ti=6542cl=0db=184"
"681","my_ENSGALG00000001179.macse_DNA_gb"
"682","0000087ti=95729cl=2db=184"
"683","knownGene.uc001gww.1.1.inc"
"684","0000097ti=318559cl=17db=184"
"685","0000041ti=216365cl=11db=184"
"686","0000103ti=6979cl=1db=184"
"687","Papaipema"
"688","0000036ti=6599cl=0db=184"
"689","0000178ti=162484cl=1db=184"
"690","0000077ti=6944cl=7db=184"
"691","0000069ti=211219cl=1db=184"
"692","0000094ti=65162cl=0db=184"
"693","0000046ti=439988cl=3db=184"
"694","0000071ti=48438cl=3db=184"
"695","Lespesia"
"696","Eucinostomus"
"697","0000050ti=9443cl=88db=184"
"698","knownGene.uc010pvh.1.1"
"699","chr2_18574"
"700","knownGene.uc010ubk.1.1"
"701","0000033ti=318529cl=15db=184"
"702","0000057ti=7215cl=48db=184"
"703","0000055ti=32456cl=5db=184"
"704","0000071ti=42308cl=3db=184"
"705","Netelia"
"706","0000102ti=241780cl=18db=184"
"707","0000032ti=165790cl=1db=184"
"708","morf_451367_11codonalign.trim_interval.ctx"
"709","0000034ti=16360cl=305db=184"
"710","0000056ti=169659cl=1db=184"
"711","0000156ti=6180cl=0db=184"
"712","Toxonprucha"
"713","morf_452376_11codonalign.trim_interval.ctx"
"714","0000077ti=4776cl=1db=184"
"715","0000049ti=115244cl=37db=184"
"716","chr12_5878"
"717","0000248ti=58198cl=3db=184"
"718","0000059ti=137503cl=2db=184"
"719","0000155ti=295070cl=2db=184"
"720","chr13_2920"
"721","0000068ti=5305cl=4db=184"
"722","0000050ti=686349cl=45db=184"
"723","0000056ti=106219cl=64db=184"
"724","0000067ti=72045cl=0db=184"
"725","chr19_2703"
"726","0000052ti=263652cl=0db=184"
"727","0000097ti=63708cl=2db=184"
"728","knownGene.uc011ckz.1.1.inc"
"729","0000095ti=424572cl=8db=184"
"730","0000149ti=65216cl=4db=184"
"731","0000152ti=318546cl=63db=184"
"732","0000032ti=483714cl=0db=184"
"733","0000051ti=4747cl=5db=184"
"734","0000141ti=78170cl=1db=184"
"735","0000130ti=59329cl=3db=184"
"736","0000078ti=75188cl=5db=184"
"737","0000201ti=167483cl=3db=184"
"738","C22orf28-nucl"
"739","0000069ti=47522cl=7db=184"
"740","0000025ti=235631cl=25db=184"
